Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 26, 'a': 24, 's': 26, 'd': 25}",724,0.14,0.0,False,64
"{'w': 65, 'a': 47, 's': 56, 'd': 42}",2208,0.33,0.0,False,256
"{'w': 42, 'a': 32, 's': 43, 'd': 37}",1344,0.21,0.0,False,128
"{'w': 58, 'a': 49, 's': 50, 'd': 53}",2096,0.28,0.0,False,128
"{'w': 36, 'a': 25, 's': 24, 'd': 21}",660,0.14,0.0,False,64
"{'w': 31, 'a': 21, 's': 29, 'd': 24}",780,0.15,0.0,False,64
"{'w': 30, 'a': 22, 's': 26, 'd': 29}",752,0.17,0.0,False,64
"{'w': 33, 'a': 51, 's': 37, 'd': 33}",1360,0.23,0.0,False,128
"{'w': 17, 'a': 29, 's': 18, 'd': 18}",524,0.1,0.0,False,64
"{'w': 46, 'a': 30, 's': 25, 'd': 25}",912,0.16,0.0,False,64
"{'w': 63, 'a': 52, 's': 54, 'd': 59}",2164,0.31,0.0,False,128
"{'w': 31, 'a': 30, 's': 24, 'd': 26}",740,0.18,0.0,False,64
"{'w': 22, 'a': 26, 's': 18, 'd': 28}",612,0.13,0.0,False,64
"{'w': 43, 'a': 46, 's': 28, 'd': 37}",1348,0.2,0.0,False,128
"{'w': 15, 'a': 21, 's': 23, 'd': 29}",656,0.12,0.0,False,64
"{'w': 48, 'a': 29, 's': 38, 'd': 43}",1268,0.21,0.0,False,128
"{'w': 32, 'a': 18, 's': 27, 'd': 37}",752,0.16,0.0,False,64
"{'w': 27, 'a': 38, 's': 24, 'd': 28}",768,0.21,0.0,False,64
"{'w': 42, 'a': 36, 's': 36, 'd': 56}",1428,0.22,0.0,False,128
"{'w': 70, 'a': 41, 's': 54, 'd': 39}",1840,0.27,0.0,False,128
"{'w': 34, 'a': 34, 's': 26, 'd': 33}",988,0.18,0.0,False,64
"{'w': 43, 'a': 29, 's': 26, 'd': 26}",864,0.16,0.0,False,64
"{'w': 40, 'a': 23, 's': 23, 'd': 19}",720,0.16,0.0,False,64
"{'w': 39, 'a': 44, 's': 39, 'd': 41}",1448,0.23,0.0,False,128
"{'w': 28, 'a': 26, 's': 22, 'd': 18}",624,0.11,0.0,False,64
"{'w': 17, 'a': 15, 's': 20, 'd': 19}",400,0.08,0.0,False,32
"{'w': 40, 'a': 47, 's': 28, 'd': 26}",1144,0.17,0.0,False,128
"{'w': 26, 'a': 13, 's': 20, 'd': 16}",440,0.11,0.0,False,64
"{'w': 45, 'a': 53, 's': 50, 'd': 47}",1812,0.26,0.0,False,128
"{'w': 38, 'a': 28, 's': 33, 'd': 42}",1168,0.22,0.0,False,128
"{'w': 26, 'a': 22, 's': 39, 'd': 46}",812,0.19,0.0,False,64
"{'w': 37, 'a': 27, 's': 22, 'd': 28}",736,0.14,0.0,False,64
"{'w': 27, 'a': 14, 's': 26, 'd': 23}",564,0.13,0.0,False,32
